fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
01049,0.002445067487159336,0.002445067487159336,0.004553389152733852,0.5369774919614149,0.5345324244742555,DeKalb,AL,High,0.0112636037834508,0.0112636037834508,0.0209759327943305,LightGBM,0.01642254364159665
01051,0.01342300374042682,0.01342300374042682,0.03537757765485374,0.3794212218649517,0.3659982181245249,Elmore,AL,Moderate,0.0151707013720189,0.0151707013720189,0.0399837976838803,LightGBM,0.00460622002902656
01053,0.00811694786342343,0.00811694786342343,0.012559058634451177,0.6463022508038585,0.6381853029404351,Escambia,AL,High,0.0265797612137492,0.0265797612137492,0.041125899191423,LightGBM,0.028566840556971826
01055,0.011299089385959249,0.011299089385959249,0.02079299881084809,0.5434083601286173,0.532109270742658,Etowah,AL,High,0.0308504010968965,0.0308504010968965,0.0567720398883717,LightGBM,0.03597904107752361
01057,0.001924546213143974,0.001924546213143974,0.0033068169739656123,0.5819935691318329,0.5800690229186889,Fayette,AL,High,0.0029563659149107,0.0029563659149107,0.005079722649377,LightGBM,0.0017729056754113878
01059,0.0068565065606008835,0.0068565065606008835,0.01225502034682112,0.5594855305466238,0.5526290239860229,Franklin,AL,High,0.0454603884244495,0.0454603884244495,0.0812539126437,LightGBM,0.06899889229687887
01061,0.0012750032125392607,0.0012750032125392607,0.002227674152245563,0.5723472668810288,0.573622270093568,Geneva,AL,High,0.0102783035080386,0.0102783035080386,0.0179581595,LightGBM,0.01573048534775444
01063,0.1201513715437631,0.1201513715437631,0.1201513715437631,1.0,0.8798486284562369,Greene,AL,Critical,0.02759077109204,0.02759077109204,0.02759077109204,Prophet,-0.0925606004517231
01065,0.005363128108331949,0.005363128108331949,0.00801890789274633,0.6688102893890674,0.6634471612807354,Hale,AL,High,0.0205344312359326,0.0205344312359326,0.0307029236268032,LightGBM,0.02268401573405687
01067,0.0003672441476851862,0.0003672441476851862,0.0006452707905654966,0.5691318327974277,0.5687645886497426,Henry,AL,High,0.0093372190964127,0.0093372190964127,0.01640607423155,LightGBM,0.015760803440984503
01069,0.0017955946512669962,0.0017955946512669962,0.0035568785767136034,0.504823151125402,0.503027556474135,Houston,AL,High,0.0010015340254531,0.0010015340254531,0.0019839304580631,Prophet,-0.0015729481186505033
01071,0.007074888532471513,0.007074888532471513,0.012718441234674225,0.5562700964630224,0.5491952079305509,Jackson,AL,High,0.006725905954087,0.006725905954087,0.0120910794897172,Prophet,-0.0006273617449570248
01073,0.012844570197435123,0.012844570197435123,0.028946821242045825,0.44372990353697744,0.4308853333395423,Jefferson,AL,Moderate,0.0104650746522644,0.0104650746522644,0.0235843349047408,Prophet,-0.005362486337305024
